"count_id","line","species_id","site_code","liana","count"
83174,5,3570,"NDAKANNI","",1.0
83175,6,3578,"NDAKANNI","",1.0
83176,2,3583,"NDAKANNI","",1.0
83177,3,3584,"NDAKANNI","",1.0
83178,6,3585,"NDAKANNI","",1.0
83179,6,3586,"NDAKANNI","",1.0
83180,8,3586,"NDAKANNI","",1.0
83181,7,3587,"NDAKANNI","",1.0
83182,9,3628,"NDAKANNI","",1.0
83183,10,3628,"NDAKANNI","",1.0
83184,1,3706,"NDAKANNI","L",1.0
83185,2,3706,"NDAKANNI","L",1.0
83186,6,3706,"NDAKANNI","L",4.0
83187,5,3855,"NDAKANNI","L",1.0
83188,9,3855,"NDAKANNI","L",3.0
83189,10,3855,"NDAKANNI","L",1.0
83190,4,3871,"NDAKANNI","L",1.0
83191,5,3871,"NDAKANNI","L",1.0
83192,10,3871,"NDAKANNI","",1.0
83193,1,3874,"NDAKANNI","",1.0
83194,1,3898,"NDAKANNI","",4.0
83195,3,3898,"NDAKANNI","",6.0
83196,5,3898,"NDAKANNI","",1.0
83197,6,3898,"NDAKANNI","",1.0
83198,7,3898,"NDAKANNI","",1.0
83199,8,3898,"NDAKANNI","",4.0
83200,7,3900,"NDAKANNI","",1.0
83201,8,3910,"NDAKANNI","",2.0
83202,10,3910,"NDAKANNI","",1.0
83203,2,4061,"NDAKANNI","L",1.0
83204,3,4061,"NDAKANNI","L",1.0
83205,4,4061,"NDAKANNI","L",1.0
83206,9,4061,"NDAKANNI","L",3.0
83207,1,4078,"NDAKANNI","",1.0
83208,4,4078,"NDAKANNI","",1.0
83209,7,4078,"NDAKANNI","",1.0
83210,2,4149,"NDAKANNI","",1.0
83211,3,4149,"NDAKANNI","",2.0
83212,4,4149,"NDAKANNI","",4.0
83213,5,4400,"NDAKANNI","L",2.0
83214,6,4400,"NDAKANNI","L",1.0
83215,7,4400,"NDAKANNI","L",1.0
83216,2,4403,"NDAKANNI","L",1.0
83217,3,4467,"NDAKANNI","",1.0
83218,4,4467,"NDAKANNI","",1.0
83219,5,4536,"NDAKANNI","",1.0
83220,9,4739,"NDAKANNI","",1.0
83221,4,4937,"NDAKANNI","",1.0
83222,6,4937,"NDAKANNI","",1.0
83223,6,4999,"NDAKANNI","L",1.0
83224,3,5012,"NDAKANNI","",1.0
83225,10,5051,"NDAKANNI","",1.0
83226,10,5056,"NDAKANNI","",1.0
83227,10,5057,"NDAKANNI","L",1.0
83228,7,5154,"NDAKANNI","",1.0
83229,7,5155,"NDAKANNI","",1.0
83230,1,5544,"NDAKANNI","",1.0
83231,5,5544,"NDAKANNI","",1.0
83232,5,5546,"NDAKANNI","L",1.0
83233,7,5764,"NDAKANNI","L",6.0
83234,1,5764,"NDAKANNI","L",7.0
83235,2,5764,"NDAKANNI","L",2.0
83236,3,5764,"NDAKANNI","L",1.0
83237,4,5764,"NDAKANNI","L",1.0
83238,5,5764,"NDAKANNI","L",1.0
83239,5,6040,"NDAKANNI","",1.0
83240,6,6040,"NDAKANNI","",1.0
83241,7,6040,"NDAKANNI","",1.0
83242,9,6040,"NDAKANNI","",1.0
83243,3,6077,"NDAKANNI","",1.0
83244,5,6100,"NDAKANNI","",1.0
83245,5,6100,"NDAKANNI","",1.0
83246,10,6129,"NDAKANNI","",2.0
83247,10,6135,"NDAKANNI","",1.0
83248,4,6173,"NDAKANNI","",1.0
83249,10,6175,"NDAKANNI","",1.0
83250,6,6183,"NDAKANNI","",1.0
83251,1,6190,"NDAKANNI","",1.0
83252,6,6222,"NDAKANNI","",1.0
83253,3,6276,"NDAKANNI","L",1.0
83254,7,6276,"NDAKANNI","L",1.0
83255,8,6276,"NDAKANNI","L",1.0
83256,4,6277,"NDAKANNI","L",1.0
83257,6,6277,"NDAKANNI","L",1.0
83258,9,6278,"NDAKANNI","L",2.0
83259,8,6430,"NDAKANNI","",1.0
83260,5,6484,"NDAKANNI","",1.0
83261,7,6565,"NDAKANNI","",1.0
83262,5,7337,"NDAKANNI","",1.0
83263,9,7340,"NDAKANNI","",1.0
83264,2,7350,"NDAKANNI","",1.0
83265,6,7354,"NDAKANNI","",1.0
83266,7,7354,"NDAKANNI","",1.0
83267,4,7356,"NDAKANNI","",1.0
83268,5,7356,"NDAKANNI","",1.0
83269,6,7356,"NDAKANNI","",1.0
83270,8,7357,"NDAKANNI","",1.0
83271,8,7421,"NDAKANNI","",1.0
83272,5,7429,"NDAKANNI","",2.0
83273,7,7429,"NDAKANNI","",2.0
83274,8,7429,"NDAKANNI","",2.0
83275,9,7429,"NDAKANNI","",1.0
83276,10,7429,"NDAKANNI","",1.0
83277,10,7429,"NDAKANNI","",1.0
83278,10,7609,"NDAKANNI","",1.0
83279,1,7814,"NDAKANNI","",1.0
83280,1,7814,"NDAKANNI","",1.0
83281,6,7899,"NDAKANNI","",1.0
83282,2,7997,"NDAKANNI","",1.0
83283,9,8137,"NDAKANNI","",1.0
83284,10,8138,"NDAKANNI","",1.0
83285,5,8203,"NDAKANNI","",1.0
83286,6,8370,"NDAKANNI","",1.0
83287,5,8581,"NDAKANNI","",1.0
83288,8,8582,"NDAKANNI","",1.0
83289,10,8878,"NDAKANNI","",1.0
83290,8,8926,"NDAKANNI","",1.0
83291,7,9049,"NDAKANNI","",1.0
83292,7,9195,"NDAKANNI","",1.0
83293,2,9217,"NDAKANNI","",1.0
83294,7,9217,"NDAKANNI","",1.0
83295,1,9242,"NDAKANNI","",1.0
83296,10,9242,"NDAKANNI","",1.0
83297,5,9392,"NDAKANNI","",1.0
83298,2,9408,"NDAKANNI","",1.0
83299,6,9408,"NDAKANNI","",1.0
83300,7,9408,"NDAKANNI","",1.0
83301,7,9408,"NDAKANNI","",2.0
83302,8,9408,"NDAKANNI","",1.0
83303,3,9461,"NDAKANNI","",1.0
83304,1,9676,"NDAKANNI","",8.0
83305,2,9676,"NDAKANNI","",8.0
83306,3,9676,"NDAKANNI","",1.0
83307,3,9676,"NDAKANNI","",3.0
83308,4,9676,"NDAKANNI","",3.0
83309,5,9676,"NDAKANNI","",3.0
83310,6,9676,"NDAKANNI","",1.0
83311,7,9676,"NDAKANNI","",2.0
83312,9,9676,"NDAKANNI","",1.0
83313,2,9705,"NDAKANNI","L",1.0
83314,9,9705,"NDAKANNI","L",1.0
83315,2,123,"BANYONG","",1.0
83316,4,139,"BANYONG","",2.0
83317,8,139,"BANYONG","",3.0
83318,5,141,"BANYONG","",2.0
83319,6,141,"BANYONG","",1.0
83320,3,165,"BANYONG","",1.0
83321,10,165,"BANYONG","",1.0
83322,3,209,"BANYONG","",3.0
83323,7,209,"BANYONG","",1.0
