Nominated,Zone,years_zone,gender,age,satisfaction_rubbish_collection
yes,ZONE V,1,female,29,neither_satisf
no,KISOTA,17,male,37,neither_satisf
yes,SSEBOWA,3,female,35,satisfied
no,KISOTA,21,female,44,dissatisfied
yes,ZONE V,3,male,23,dissatisfied
yes,SSEBOWA,18,female,41,dissatisfied
yes,KI 9,2,male,23,dissatisfied
no,Biina zone a ,21,male,21,very_dissatisf
yes,KI 9,4,male,41,dissatisfied
yes,TUBA,5,female,22,satisfied
yes,TUBA,5,male,20,satisfied
yes,SSEBOWA,19,male,19,dissatisfied
no,Biina zone a ,2,male,23,very_dissatisf
yes,KI 9,2,male,21,dissatisfied
yes,TUBA,1,male,24,dissatisfied
no,KISOTA,18,male,18,neither_satisf
no,Biina zone a ,3,male,20,dissatisfied
yes,ZONE V,5,female,26,dissatisfied
yes,KI 9,5,male,27,dissatisfied
no,Biina zone a ,7,male,24,dissatisfied
yes,KI 9,23,male,34,satisfied
yes,ZONE V,20,female,38,dissatisfied
yes,KI 9,3,female,23,very_dissatisf
no,ZONE V,10,male,30,satisfied
yes,TUBA,2,female,40,dissatisfied
yes,ZONE V,2,male,36,dissatisfied
yes,KI 9,8,male,22,dissatisfied
yes,TUBA,2,male,23,satisfied
no,KISOTA,20,male,20,very_dissatisf
yes,TUBA,1,male,25,satisfied
yes,TUBA,10,female,47,very_dissatisf
no,Biina zone a ,44,male,44,very_dissatisf
yes,KI 9,5,male,26,dissatisfied
no,Biina zone a ,1,female,30,neither_satisf
no,Biina zone a ,12,male,28,satisfied
yes,TUBA,1,male,22,dissatisfied
yes,TUBA,3,female,27,dissatisfied
no,KISOTA,2,male,21,satisfied
no,Biina zone a ,1,female,23,dissatisfied
no,Biina zone a ,1,female,19,very_dissatisf
yes,TUBA,7,male,30,dissatisfied
no,Biina zone a ,2,male,36,very_dissatisf
no,KONDOGORO,20,male,24,dissatisfied
yes,MAMBOBADO,3,female,35,dissatisfied
no,KISENYI,27,male,27,very_dissatisf
no,KISENYI,34,male,34,very_dissatisf
no,KISENYI,1,male,21,dissatisfied
yes,MAMBOBADO,5,male,30,dissatisfied
no,KONDOGORO,3,male,23,dissatisfied
no,KONDOGORO,1,male,20,satisfied
no,KISENYI,2,female,60,satisfied
no,KONDOGORO,15,male,45,dissatisfied
yes,MBUYA HILL,4,female,34,very_satisfied
yes,ZONE 3,13,female,40,very_satisfied
yes,MAMBOBADO,4,male,27,very_dissatisf
yes,MBUYA HILL,3,male,20,very_satisfied
no,KONDOGORO,22,male,23,satisfied
yes,ZONE 3,4,male,25,satisfied
yes,ZONE 3,5,male,34,very_satisfied
yes,MBUYA HILL,13,male,23,neither_satisf
yes,MAMBOBADO,20,female,30,very_dissatisf
yes,MAMBOBADO,13,male,38,very_dissatisf
no,KISENYI,21,male,22,satisfied
yes,MBUYA HILL,15,male,20,satisfied
no,KISENYI,20,male,20,dissatisfied
yes,MBUYA HILL,15,male,22,satisfied
yes,MBUYA HILL,1,female,19,satisfied
no,KISENYI,15,male,27,dissatisfied
yes,ZONE 3,20,male,56,satisfied
yes,ZONE 3,20,female,46,satisfied
yes,MAMBOBADO,5,female,26,dissatisfied
no,KISENYI,10,male,30,satisfied
no,KONDOGORO,20,male,36,satisfied
yes,ZONE 3,3,male,25,satisfied
yes,MAMBOBADO,10,female,48,dissatisfied
no,KISENYI,20,male,60,satisfied
