years,fireRisk,vote,districtBen,districtSuc,districtSafe,forest,evac,chip,noChip,defense,noDefense,lostHome,ownRent,income,eth,spouseEth,edu
39,4,1,5,3,4,2,1,1,69,1,69,0,0,2,6,6,4
16,4,2,5,5,4,3,1,2,69,0,5,0,1,69,69,69,69
43.3,2,1,4,4,4,3,1,2,69,1,69,0,0,2,1,1,4
54.5,3,2,2,2,2,1,1,0,3,0,3,0,0,1,5,69,3
41,4,1,5,5,5,5,1,3,5,1,5,0,0,69,1,1,4
9.3,5,2,3,3,3,4,1,0,4,0,4,0,0,3,2,2,3
15.5,4,1,3,3,3,4,1,0,4,0,1,0,0,3,1,1,4
2,3,3,5,5,5,5,0,0,3,0,1,0,0,2,1,5,3
45,5,2,5,3,3,5,1,69,69,0,4,0,1,69,69,69,69
70,5,1,3,3,3,3,1,0,69,1,69,0,0,1,1,69,4
28,3,0,2,2,2,5,0,2,69,0,69,0,0,2,1,1,3
29.3,2,2,4,4,4,3,0,0,5,0,5,0,0,2,1,69,2
28,4,3,4,4,4,4,1,0,69,0,69,0,0,1,1,1,4
10,4,3,4,3,3,2,1,0,4,0,4,0,1,2,1,69,4
9,3,0,2,1,2,3,1,1,69,69,69,0,0,69,69,69,69
10,3,1,4,4,4,4,1,3,69,0,5,0,0,2,1,1,4
62.3,2,1,5,5,5,5,1,0,69,1,69,0,0,1,1,69,2
3,3,3,5,4,4,5,0,0,69,1,69,0,0,3,1,1,4
6,4,3,3,2,2,4,1,0,4,0,5,0,0,69,1,1,3
4.1,3,3,4,3,4,3,1,0,69,0,3,0,0,3,1,1,4
3,3,3,3,3,3,3,0,1,69,0,1,0,0,3,1,1,4
31.3,4,1,4,4,5,5,1,0,1,1,69,0,0,69,2,1,4
14,5,1,5,5,5,4,1,1,69,1,69,0,0,1,1,69,3
37,5,1,5,5,5,3,1,0,4,1,69,0,0,1,1,1,4
21,4,1,5,5,5,4,1,3,69,0,5,0,0,69,1,1,4
46,4,3,4,4,4,5,1,0,1,0,1,0,0,69,1,1,4
1.3,5,1,5,3,4,4,1,0,5,1,69,0,0,3,1,1,4
3.4,69,2,4,4,4,3,0,0,5,0,1,0,0,69,69,69,69
74.8,69,69,69,69,69,69,69,69,69,69,69,69,1,69,69,69,69
19.1,5,2,5,5,5,4,1,3,69,1,69,1,0,3,1,1,4
18,3,3,4,4,3,2,1,2,69,0,4,0,0,2,1,1,4
28,4,2,3,3,3,5,1,2,69,0,69,0,0,69,1,1,4
3.6,3,3,5,5,5,4,1,0,5,69,69,0,0,3,1,69,4
42,4,2,4,4,3,3,1,2,69,0,3,0,0,3,1,1,3
16.2,4,1,4,2,3,4,1,3,69,1,69,0,0,2,1,1,4
29.7,5,1,5,4,4,3,1,0,4,1,69,0,0,2,1,1,3
27.4,3,1,5,4,5,5,1,0,4,1,69,0,0,2,1,1,4
15.8,4,1,4,3,4,4,1,3,69,1,69,0,0,2,1,1,4
16.8,4,1,4,4,4,5,1,1,69,0,4,0,0,2,1,5,3
15,3,1,4,4,4,3,1,3,69,1,69,0,0,69,1,1,4
6.2,3,2,4,69,69,2,0,0,4,0,3,0,0,2,1,1,4
10,4,1,5,5,5,2,1,2,69,1,69,0,0,3,1,1,4
27,5,1,4,4,4,3,1,3,69,1,69,1,0,1,1,69,4
29,4,1,4,4,4,3,1,0,69,1,69,0,0,3,1,1,4
30,69,1,69,69,69,69,1,0,5,1,69,1,0,69,69,69,69
